id,name,acronym,operating_unit_type_id,agency_code,uacs_code,address,image,agency_head_name,agency_head_designation,telephone_number,fax_number,email,created_at,updated_at,deleted_at
46,National Organic Agriculture Program,NOAP,2,,,,agency_logos/NOAP.jpg,Bernadette S. San Juan,"National Program Coordinator, NOAP",8941-81-43 Loc. 3321,8941-81-43 Loc. 3321,soam.noap@gmail.com,,,
47,FMR - Farm-to-Market Road,FMRDP,2,,,,agency_logos/DA LOGO.png,Camad A. Edres,Director,89204323,89204323,fmrdp.dacentral@gmail.com,,,
48,National Halal Program,HALAL,2,,,,agency_logos/HALAL.png,Clint Hassan,Director,89204068,,clintk9@gmail.com,,,
49,PRDP - Philippine Rural Development Project,PRDP,7,,,,agency_logos/PRDP.png,Shandy M. Hubilla,"OIC, Director",9265682,,prdpiplan2@gmail.com,,,
50,Kabuhayan at Kaunlaran ng kababayang katutubo (4Ks),4Ks,2,,,DA,agency_logos/DA LOGO.png,Lerey A. Panes,Assistant Secretary for Special Project,(02) 9290148,N/A,bervanniejay@gmail.com,,,
51,Philippine-Sino Center for Agricultural Technology (PhilSCAT),PhilSCAT,7,,,,agency_logos/Philscat.jpg,,,,,,,,
52,Special Area for Agricultural Development (SAAD),SAAD,2,,,Eliptical Road Diliman Quezon City,agency_logos/SAAD.png,Myer G. Mula,Program Director,8929-7349 / 2832/33/34,N/A,mgm81259@gmail .com,,,
53,Office of the Assistant Secretary for Regulations,OASR,7,,,,agency_logos/DA LOGO.png,Atty.Hanzel O. Didulo,Assistant Secretary for Regulation,,,daoasr@gmail.com,,,
54,QUEDANCOR - Quedan and Rural Credit Guarantee Corporation,Quedancor,6,,,,agency_logos/QUEDANCOR.jpg,Atty. Armando R. Crobalde Jr.,President,,,opquedancor@yahoo.com,,,
55,BAFS - Bureau of Agricultural and Fisheries Standards,BAFS,4,,,N/A,agency_logos/BAFS.png,Myer G. Mula,Director IV,2540282/ 9288758 loc 3314,82540282/cisco 3301,bafs.oed@gmail.com/choymamaril@yahoo.com,,,
56,BAFS-ILD Bureau of Agricultural and Fisheries Standards - Integrated Laboratory Division,BAFS-ILD,4,,,N/A,agency_logos/BAFS.png,Myer G. Mula,Director IV,82540282/ 89288758 loc 3317,82540282,bafs.oed@gmail.com,,,
57,Agribusiness and Marketing Assistance Service,AMAS,1,,,DA,agency_logos/AMAS.png,Ramon C. Yedra,OIC Director,89202216/CISCO-2140/2169,89266434,bpamas2019@gmail.com,,,
58,FOS-SPCMAD (for FAPs and LFPs),FOS-SPCMAD,1,,,,agency_logos/DA LOGO.png,U-Nichols A. Manalo,"OIC, SPCMAD",920 1767 loc 2433,920 1767,da_spcmad@yahoo.com,,,
59,ICTS - Information Communication Technology Service,ICTS,1,,,,agency_logos/DA LOGO.png,Xercees R. Remoroza,OIC Director,Local 2542,89204069,xremz@yahoo.com,,,
60,NCI - National Convergence Initiative,NCI,7,,,BSWM,agency_logos/DA LOGO.png,Dr. Silvino Q. Tejada,National Focal Person,9295683,9295683,convergence.secretariat@gmail.com,,,
61,PDS - Project Development Service,PDS,1,,,,agency_logos/DA LOGO.png,Ferdinand D. Flores,OIC Director,920-1407,9201407,osddapds@gmail.com,,,
62,Investment Programming Division,IPD,1,,,DA,agency_logos/DA LOGO.png,Joseph C. Manicad,Planning Officer V,9209116,n/a,manicad3480@gmail.com,,,
63,Climate Resilient Agriculture Office,CRAO,1,,,,agency_logos/DA LOGO.png,Alicia Ilaga,Director,n/a,n/a,n/a,,,
64,Field Programs Operational Planning Division,FPOPD,1,,,,agency_logos/DA LOGO.png,Lorna L. Calda,OIC,n/a,n/a,n/a,,,
65,Policy Research Service,PRS,1,,,,agency_logos/DA LOGO.png,Noel Padre,Director,n/a,n/a,n/a,,,
